YoYo Test Level,RPE,Time
5.1 Start,2,0.0
5.1 Finish,2,13.0
9.1 Start,2,25.0
9.1 Finish,2,37.0
11.1 Start,2,47.0
11.1 Finish,2,58.0
11.2 Start,2,68.0
11.2 Finish,2,79.0
12.1 Start,3,89.0
12.1 Finish,3,99.0
12.2 Start,3,109.0
12.2 Finish,3,120.0
12.3 Start,3,130.0
12.3 Finish,3,141.0
13.1 Start,4,151.0
13.1 Finish,4,161.0
13.2 Start,4,171.0
13.2 Finish,4,181.0
13.3 Start,4,191.0
13.3 Finish,5,202.0
13.4 Start,5,212.0
13.4 Finish,5,222.0
14.1 Start,5,222.0
14.1 Finish,6,242.0
14.2 Start,6,252.0
14.2 Finish,6,262.0
14.3 Start,6,272.0
14.3 Finish,7,282.0
14.4 Start,7,292.0
14.4 Finish,7,302.0
14.5 Start,7,312.0
14.5 Finish,8,321.0
14.6 Start,8,332.0
14.6 Finish,8,342.0
14.7 Start,8,352.0
14.7 Finish,8,362.0
14.8 Start,8,371.0
14.8 Finish,8,382.0
15.1 Start,8,392.0
15.1 Finish,9,401.0
15.2 Start,9,411.0
15.2 Finish,9,421.0
15.3 Start,9,431.0
15.3 Finish,9,440.0
15.4 Start,9,450.0
15.4 Finish,9,459.0
15.5 Start,9,469.0
15.5 Finish,9,479.0
15.6 Start,9,489.0
15.6 Finish,9,499.0
15.7 Start,9,509.0
15.7 Finish,9,518.0
15.8 Start,9,529.0
15.8 Finish,9,538.0
16.1 Start,9,548.0
16.1 Finish,10,557.0
16.2 Start,10,567.0
16.2 Finish,10,577.0
16.3 Start,10,586.0
16.3 Finish,10,596.0
16.4 Start,10,606.0
16.4 Finish,10,616.0
16.5 Start,10,625.0
16.5 Finish,10,635.0
16.6 Start,10,644.0
16.6 Finish,10,654.0
16.7 Start,10,664.0
16.7 Finish,10,673.0
16.8 Start,10,684.0
16.8 Finish,10,693.0
17.1 Start,10,702.0
17.1 Finish,10,712.0
17.2 Start,10,721.0
17.2 Finish,10,731.0
17.3 Start,10,741.0
17.3 Finish,10,751.0
17.4 Start,10,759.0
17.4 Finish,10,769.0
17.5 Start,10,778.0
17.5 Finish,10,788.0
17.6 Start,10,797.0
17.6 Finish,10,808.0
17.7 Start,10,817.0
17.7 Finish,10,826.0
17.8 Start,10,835.0
17.8 Finish,10,846.0
