YoYo Test Level,RPE,Time
5.1 Start,1,0
5.1 Finish,1,11
9.1 Start,1,24
9.1 Finish,2,34
11.1 Start,2,46
11.1 Finish,3,56
11.2 Start,3,68
11.2 Finish,3,77
12.1 Start,3,88
12.1 Finish,4,98
12.2 Start,4,109
12.2 Finish,4,119
5.1 Start,2,255
5.1 Finish,2,266
9.1 Start,2,279
9.1 Finish,2,289
11.1 Start,2,301
11.1 Finish,3,311
11.2 Start,3,322
11.2 Finish,3,332
12.1 Start,3,343
12.1 Finish,4,353
12.2 Start,4,366
12.2 Finish,4,374
12.3 Start,4,386
12.3 Finish,5,395
13.1 Start,5,406
13.1 Finish,5,415
13.2 Start,5,426
13.2 Finish,6,436
13.3 Start,6,446
13.3 Finish,6,456
13.4 Start,6,467
13.4 Finish,7,478
14.1 Start,7,487
14.1 Finish,8,497
14.2 Start,8,507
14.2 Finish,9,517
