t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,HRR,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,bpm,mmHg
0.0,29.56,0.301,8.897,582,167.8066445,145.6572532,0.87,56.2,6.2,40.7,46.9,1.93,0.6,78,2.2,18.67,2.06,17.5,3.22,20.9,0.07,133,15,124,23,NONE,,24.2,63,40.5,733,757,1173,48.9,0.81,0,13.5,0,528,645,0,45.0,55.0,0.87,"W001° 15' 5.7204""","N51° 45' 55.4454""",63,63,0.3,0,0.85,1.18,2.03,0.42,0.21,0.949,0,0,0,,66,00:00:00,92.7,0.39,1278,998,0,80,0,9,False,31,0.35,102,26
3.0,18.93,1.03,19.495,404,702.9883179,646.0118976,0.92,170.9,42.2,25.8,28.1,8.08,2.3,78,9.0,16.59,4.1,15.61,5.21,20.9,0.07,118,29,111,37,NONE,,24.1,63,40.5,733,757,4971,207.1,3.45,0,57.1,0,1375,3596,0,27.7,72.3,0.92,"W001° 15' 5.7168""","N51° 45' 55.4508""",62,63,0.5,0,0.86,2.31,3.17,0.27,0.18,1.29,3,0,0,,66,00:00:03,84.0,0.97,1278,998,0,80,0,8,False,32,1.2,102,39
3.0,117.65,0.046,5.412,71,96.2298896,151.8203981,1.58,8.5,1.6,0.0,0.0,1.11,0.3,78,1.2,18.48,3.48,19.99,0.9,20.9,0.07,131,25,142,6,NONE,,24.1,63,40.5,733,757,781,32.5,0.54,0,9.0,0,0,781,0,0.0,100.0,1.58,"W001° 15' 5.7168""","N51° 45' 55.4508""",62,63,0.5,0,0.28,0.23,0.51,0.55,0.0,0.733,0,0,0,,66,00:00:03,95.6,0.13,1278,998,0,80,0,8,False,32,0.16,102,11
5.0,28.3,0.349,9.877,834,204.3693119,178.2801016,0.87,64.4,7.9,38.6,44.3,2.35,0.7,78,2.6,18.45,2.26,17.16,3.68,20.9,0.07,131,16,122,26,NONE,,24.1,63,40.5,733,757,1430,59.6,0.99,0,16.4,0,623,807,0,43.6,56.4,0.87,"W001° 15' 5.7174""","N51° 45' 55.4448""",63,63,0.4,0,0.67,1.45,2.12,0.32,0.25,0.995,2,0,0,,66,00:00:05,91.9,0.35,1278,998,0,80,0,8,False,27,0.52,102,29
7.0,27.4,0.494,13.534,540,389.7530568,352.9013594,0.91,86.3,16.0,29.8,32.9,4.48,1.3,79,4.9,17.47,3.24,16.16,4.6,20.9,0.07,124,23,115,33,NONE,,24.1,63,40.5,733,757,2748,114.5,1.91,0,31.6,0,887,1861,0,32.3,67.7,0.91,"W001° 15' 5.7186""","N51° 45' 55.4394""",63,63,0.1,0,0.69,1.5,2.19,0.32,0.2,1.131,2,0,0,,65,00:00:07,88.9,2.69,1278,998,0,80,0,7,False,32,0.72,101,35
10.0,25.1,0.586,14.711,635,405.0699248,381.9567853,0.94,103.1,18.9,32.0,33.9,4.66,1.3,80,5.1,17.59,3.23,16.25,4.65,20.9,0.07,125,23,115,33,NONE,,24.1,64,40.5,733,757,2880,120.0,2.0,0,33.1,0,561,2319,0,19.5,80.5,0.94,"W001° 15' 5.7216""","N51° 45' 55.4328""",64,63,0.1,0,0.78,1.61,2.39,0.33,0.23,1.168,3,0,0,,65,00:00:10,88.0,2.79,1278,998,0,80,0,8,False,32,0.75,100,35
12.0,24.0,0.54,12.96,584,337.3550552,316.4134321,0.94,96.0,16.4,33.4,35.6,3.88,1.1,80,4.2,17.78,3.04,16.38,4.56,20.9,0.07,126,22,116,32,NONE,,24.1,64,40.5,733,757,2396,99.8,1.66,0,27.5,0,508,1888,0,21.2,78.8,0.94,"W001° 15' 5.7474""","N51° 45' 55.4112""",66,63,0.2,0,0.93,1.57,2.5,0.37,0.25,1.113,2,0,0,,65,00:00:12,89.4,1.16,1278,998,0,80,0,8,False,32,0.58,100,35
15.0,27.4,0.47,12.877,499,319.772488,292.4147098,0.91,84.3,13.3,34.3,37.5,3.68,1.1,80,4.0,17.94,2.83,16.52,4.33,20.9,0.07,127,20,117,31,NONE,,24.1,64,40.5,733,757,2259,94.1,1.57,0,26.0,0,660,1599,0,29.2,70.8,0.91,"W001° 15' 5.7792""","N51° 45' 55.3842""",68,63,0.2,0,0.87,1.32,2.19,0.4,0.25,1.11,3,0,0,,65,00:00:15,89.5,1.1,1278,998,0,80,0,8,False,32,0.54,100,33
17.0,20.48,0.559,11.447,548,306.7145557,284.9165345,0.93,98.9,17.3,32.6,35.1,3.53,1.0,76,4.0,17.69,3.09,16.33,4.76,20.9,0.07,126,22,116,34,NONE,,24.1,65,40.5,733,757,2174,90.6,1.51,0,25.0,0,527,1647,0,24.3,75.7,0.93,"W001° 15' 5.781""","N51° 45' 55.365""",69,63,0.1,0,0.94,1.99,2.93,0.32,0.26,1.059,2,0,0,,65,00:00:17,90.6,2.12,1278,998,0,80,0,9,False,31,0.59,104,36
21.0,15.79,1.24,19.579,705,613.8413006,583.7875329,0.95,212.4,45.8,30.1,31.6,7.06,2.0,75,8.2,17.13,3.69,15.68,5.07,20.9,0.07,122,26,111,36,NONE,,24.2,64,40.5,733,757,4372,182.2,3.04,1,50.3,0,731,3641,0,16.7,83.3,0.95,"W001° 15' 5.7984""","N51° 45' 55.3494""",69,63,0.3,0,0.93,2.87,3.8,0.24,0.25,1.292,4,0,0,,65,00:00:21,84.0,1.41,1278,998,0,80,0,9,False,31,1.33,105,38
23.0,27.52,0.503,13.844,948,321.7597683,302.2979431,0.94,91.1,13.7,37.0,39.4,3.7,1.1,76,4.2,18.11,2.72,16.87,4.08,20.9,0.07,129,19,120,29,NONE,,24.2,64,40.5,733,757,2286,95.2,1.59,1,26.3,0,472,1814,0,20.6,79.4,0.94,"W001° 15' 5.7966""","N51° 45' 55.3398""",69,63,0.3,0,0.59,1.59,2.18,0.27,0.25,1.141,2,0,0,,65,00:00:23,88.7,0.74,1278,998,0,80,0,9,False,25,0.85,104,32
25.0,30.93,0.038,1.175,675,0.8575822,1.8687757,2.18,7.9,0.1,0.0,0.0,0.01,0.0,79,0.0,20.79,0.26,163.83,0.29,20.9,0.07,148,2,>63,2,NONE,,24.2,64,40.5,733,757,8,0.3,0.01,1,0.1,0,0,8,0,0.0,100.0,2.18,"W001° 15' 5.7792""","N51° 45' 55.3362""",69,63,0.2,0,0.94,1.0,1.94,0.48,0.0,0.07,2,0,0,,65,00:00:25,99.0,0,1278,998,0,80,0,9,False,25,0.04,101,7
36.0,5.5,1.601,8.805,909,268.1772137,271.4429788,1.01,275.2,61.1,31.4,31.0,3.08,0.9,80,3.4,17.19,3.82,15.2,5.65,20.9,0.07,122,27,108,40,NONE,,24.1,64,40.5,733,757,1936,80.7,1.34,1,22.3,0,0,1936,0,0.0,100.0,1.01,"W001° 15' 5.7642""","N51° 45' 55.3332""",69,63,0.2,0,0.53,10.38,10.91,0.05,0.3,0.945,11,0,0,,65,00:00:36,92.8,0.92,1278,998,0,80,0,9,False,30,3.02,100,42
